Cod_setor,Cod_Grandes Regiġes,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
270010205000015,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),5,0,39,126,3,23,2,5,320,1,92641,46,480,15,60891,82,253,153481,36,515,37,177881,14,
270010205000016,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),5,0,131,461,3,52,3,59,415,83,347903,56,561,59,388412,22,238,65,186200,3,521,4,259803,66
270010205000017,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,207,814,3,93,3,84,461,38,388812,5,624,22,424625,2,222,77,191027,79,503,87,290782,54
270010205000018,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,289,1132,3,92,3,24,289,49,117889,55,457,18,109466,75,181,87,189065,466,26,352573,61,
270010205000019,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,96,389,4,5,5,65,316,46,64002,31,434,36366,72,162,8,53711,59,370,12,45317,49,
270010205000020,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),1,0,249,928,3,73,3,56,670,63,456013,65,726,3,453451,66,397,79,310620,14,639,77,344835,49
270010205000021,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),1,0,297,1005,3,38,2,69,802,91,876870,14,845,62,887434,78,530,56,672607,3,740,95,783631,46
270010205000022,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),5,0,51,228,4,47,5,93,421,33,108303,47,511,62,84758,88,201,42,76521,4,418,34,68090,32
270010205000023,2,Região Nordeste,27,Alagoas,2701,Serto Alagoano,27001,Serrana do Serto Alagoano,0,Municípios no pertencentes a estrutura de RM,2700102,ÁGUA BRANCA,270010205,ÁGUA BRANCA,27001020500,ÁGUA BRANCA,2700102000,ÁGUA BRANCA (todos os setores),8,0,172,769,4,47,4,74,267,26,89360,36,421,72,75740,66,145,94,59898,8,333,74,74353,82
270020105000001,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,189,691,3,66,3,64,485,21,223003,94,559,17,215594,55,311,75,157307,22,501,16,157958,9
